Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
GA,Paul Elhorst ,Board,Male,Netherlands,1990,No,,,,,,,,,,,,,,,,,,,
JGS,Paul Elhorst,Board,Male,Netherlands,1990,No,,,,,,,,,,,,,,,,,,,
JTG,Janet Dickinson,Board,Female,UK,1990,Yes,,,,,,,,,,,,,,,,,,,
CEUS,David Wong,Board,Male,USA,1990,Yes,,,,,,,,,,,,,,,,,,,
GA,David Wong,Board,Male,USA,1990,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jinfeng Wang,Board,Male,China,1991,No,,,,,,,,,,,,,,,,,,,
IJGIS,Andrew Skidmore,Board,Male,Netherlands,1991,No,,,,,,,,,,,,,,,,,,,
PSP,Ian Shuttleworth,Board,Male,UK,1991,Yes,,,,,,,,,,,,,,,,,,,
PSP,Aileen Stockdale,Editor in Chief,Female,UK,1991,Yes,,,,,,,,,,,,,,,,,,,
EPB,Harvey Miller,Board,Male,USA,1991,Yes,,,,,,,,,,,,,,,,,,,
GA,Harvey Miller,Associate Editor,Male,USA,1991,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Harvey Miller,Board,Male,USA,1991,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Ling Bian,Board,Female,USA,1991,Yes,,,,,,,,,,,,,,,,,,,
JTG,Theo Notteboom,Board,Male,Belgium,1992,No,,,,,,,,,,,,,,,,,,,
IJGIS,Jianya Gong,Board,Male,China,1992,No,,,,,,,,,,,,,,,,,,,
TGIS,Jianya Gong,Board,Male,China,1992,No,,,,,,,,,,,,,,,,,,,
TGIS,Tian-Xiang Yue,Board,Male,China,1992,No,,,,,,,,,,,,,,,,,,,
EPB,Marc Barthelemy,Board,Male,France,1992,No,,,,,,,,,,,,,,,,,,,
TGIS,Marco Painho,Board,Male,Portugal,1992,No,,,,,,,,,,,,,,,,,,,
PSP,Keith Halfacree,Board,Male,UK,1992,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Hassan Karimi,Board,Male,USA,1992,Yes,,,,,,,,,,,,,,,,,,,
JTG,David Keeling,Associate Editor,Male,USA,1992,Yes,,,,,,,,,,,,,,,,,,,
JTG,Antonio Nelson Rodrigues da Silva ,Board,Male,Brazil,1993,No,,,,,,,,,,,,,,,,,,,
JTG,Ron N. Buliung,Board,Male,Canada,1993,Yes,,,,,,,,,,,,,,,,,,,
GA,Gerard Heuvelink,Board,Male,Netherlands,1993,No,,,,,,,,,,,,,,,,,,,
PSP,Clara Mulder,Board,Female,Netherlands,1993,No,,,,,,,,,,,,,,,,,,,
CEUS,Mark Gahegan,Board,Male,New Zealand,1993,Yes,,,,,,,,,,,,,,,,,,,
GA,Mark Gahegan,Board,Male,New Zealand,1993,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Mark Gahegan,Board,Male,New Zealand,1993,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Natalia Andrienko,Board,Female,UK,1993,Yes,,,,,,,,,,,,,,,,,,,
